Date Event Began,Time Evet Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type ,Demand Loss (MW),Number of Customers Affected 
6/29/2005,4:30 p.m.,7/4/2005, 11:30 p.m.,Southeast  Michigan,ECAR,Strong Thunderstorm/High Winds,"1,000","114,711"
7/01//05,N/A,Ongoing,,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,Fuel Supply - Deficiency Coal Rail Transporation Interruption,0,0
7/2/2005,1:27 a.m.,7/2/2005, 1:46 a.m.,Island of Puerto Rico,PR,Load Shedding,226,"132,290"
7/5/2005,9:00 p.m.,7/6/2005, 9:00 a.m.,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,Tropical Storm Cindy,unknown,"287,000"
7/10/2005,8:00 a.m.,7/12/2005, 8:00 a.m.,"Alabama, Mississippi, Florida, Georgia",SERC,Hurricane Dennis,45,"228,102"
7/10/2005,12:53 p.m.,7/11/2005, 5:33 pm.,Southwest Alabama and Western Panhandle of Florida,SERC,Hurricane Dennis,51.2,"50,000"
7/21/2005,2:39 p.m.,7/21/2005, 5:30 p.m.,Southern California,WECC,CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,197,"128,050"
7/22/2005,1:55 p.m.,7/22/2005, 6:00 p.m.,Southern California ,WECC,CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,206,"133,900"
7/23/2005,1:02 a.m.,7/26/2005, 10:50 a.m.,"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,Severe Thunderstorms,N/A,"55,118"
7/27/2005,4:50 p.m,7/28/2005, 9:24 p.m.,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",MAAC,Severe Thunderstorms,N/A,"93,837"
7/27/2005,5:50 p.m.,7/30/2005, 9:07 p.m.,"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,Severe Thunderstorm,  N/A,"64,943"
7/27/2005,6:00 p.m.,7/29/2005, 4:00 p.m.,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",MAAC,Severe Thunderstorms,N/A,"87,600"
7/28/2005,8:30 p.m.,8/1/2005, 5:00 p.m.,Piedmont North and South Carolina,SERC,Severe Thunderstorm,300,"52,200"
8/1/2005,10:28 a.m.,8/1/2005, 10:47 a.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,175,"47,116"
8/8/2005,12:38 p.m.,8/8/2005, 4:00 p.m.,"San Francisco Bay area, California",WECC,Plant Tripped,240,PG&E
8/19/2005,7:37 p.m.,8/19/2005, 8:15 p.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,259,"71,864"
8/20/2005,2:15 p.m.,8/20/2005, 4:21 p.m. ,Northwest Arkansas,ECAR,Severe Thunderstorms,650,"50,797"
8/25/2005,3:50 p.m.,8/25/2005, 8:00 p.m.,Southern California,WECC,CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,-,-
8/25/2005,3:51 p.m.,8/25/2005,  8:00 p.m.,Southern California,WECC,CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,864,"409,000"
8/29/2005,1:10 a.m.,8/29/2005, 12:42 p.m.,East and Southeast Louisiana,SPP,Hurricane Katrina,300,"143,000"
8/29/2005,6:00 a.m.,8/30/2005, 6:00 a.m.,"Buras, Louisiana",SPP,Hurricane Katrina,N/A,"1.1 million and 100,000 gas customers"
8/29/2005,7:10 a.m.,9/7/2005, 3:00 p.m.,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,0,0
8/29/2005,7:10 a.m.,8/29/2005, 10:00 p.m.,"Alabama, Florida, Mississippi",SERC,Hurricane Katrina ,"5,120","512,049"
8/29/2005,3:50 p.m.,9/10/2005, 12:00 p.m.,"Alabama, Mississippi,  Tennessee",SERC,Hurricane Katrina,118.5,"323,529"
8/29/2005,5:00 p.m.,9/8/2005,12:01 a.m.,"City of Lakeland, Florida",FRCC,Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,0,0
8/31/2005,4:00 p.m.,9/12/2005, 8:00 a.m.,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,FRCC,Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,0,0
9/12/2005,12:32 p.m.,9/12/2005, 1:56 p.m.," Los Angeles, California",WECC,Breaker protection cable accidentally cut,"2,578","900,000"
9/13/2005,2:14 p.m.,9/13/2005, 2:29 p.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,249,"66,480"
9/13/2005,6:30 p.m.,9/16/2005, 8:00 p.m.,Southeast Wisconsin and Fox Valley,MAIN,Severe Storm,600,"110,000"
9/14/2005,3:00 p.m.,9/15/2005, 3:00 p.m.,Eastern North Carolina,SERC,Hurricane Ophelia,215,"60,000"
9/21/2005,7:00 p.m.,9/27/2005, 11:00 p.m.,Minnesota,MRO,High Winds/Tornados,N/A,"200,000"
9/22/2005,11:00 a.m.,9/26/2005, 11:30 p.m.,Southeast Michigan,ECAR,Severe Thunderstorm,366,"53,000"
9/22/2005,12:00 p.m.,9/29/2005, 12:00 p.m.,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,0,0
9/23/2005,7:00 a.m.,9/28/2005, 11:29 a.m.," Lakeland, Florida",FRCC,Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,0,0
9/23/2005,1:06 p.m.,10/6/2005, 2:30 p.m.,West and Southwest Louisiana,SPP,Hurricane Rita,350,"125,000"
9/23/2005,5:00 p.m.,9/24/2005, 8:00 p.m.,"Houston, Texas and the surrounding suburban areas",ERCOT,Hurricane Rita,"1,950","715,000"
9/23/2005,9:00 p.m.,9/25/2005, 7:30 a.m.,"Texas, Louisiana, Arkansas, and Mississippi",SPP,Hurricane Rita,N/A,"766,000"
9/24/2005,6:00 a.m., 10/02/05, 5:00 p.m.,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",ERCOT,Hurricane Rita,260,"200,000"
9/24/2005,10:00 a.m.,9/28/2005, 6:00 p.m.,"Shreveport, Louisiana",ECAR,Hurricane Rita,700,"190,000"
10/2/2005,5:40 p.m.,10/2/2005, 5:54 p.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,312,"71,240"
10/18/2005,3:19 p.m.,10/18/2005, 3: 37 p.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,460,"142,591"
10/22/2005,9:44 a.m.,10/22/2005, 11:40 a.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,360,"85,682"
10/23/2005,8:00 p.m..,10/24/2005, 2:00 p.m.,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,Hurricane Wilma,"10,000","3,241,437"
10/24/2005,4:00 a.m.,10/24/2005, 4:00 p.m.,"Florida counties of Collier, Charlotte and Lee",FRCC,Hurricane Wilma,280,"105,000"
10/24/2005,7:00 a.m.,11/10/2005, 12:00 a.m.,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,Hurricane Wilma ,148,"84,900"
10/24/2005,8:00 p.m.,11/2/2005, 4:30 p.m.,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,Hurricane Wilma,400,"303,795"
11/3/2005,6:47 p.m.,11/3/2005, 7:00 p.m.,"San Francisco Bay area, California",WECC,Plant Tripped,136,--
11/6/2005,7:30 a.m.,11/11/2005, 11:30  p.m.,Southeast Michigan,ECAR,Severe Thunderstorm,212,"118,000"
11/12/2005,4:00 p.m.,11/14/2005, 6:00 p.m.,Southeast Wisconsin ,WeEnergiesMAIN,Severe Thunderstorms,10,"48,000"
11/12/2005,11:00 p.m.,11/14/2005, 11:59 p.m.,Western and Central portions of Michigan's Lower Peninsula,ECAR,Severe Thunderstorm,408,"272,355"
12/15/2005,4:00 a.m.,12/21/2005, 5:00 p.m.,Piedmont North Carolina and South Carolina,SERC,Ice Storm,"3,500","683,000"
12/15/2005,5:05 a.m.,12/16/2005, 12:10  p.m.,Northeast Georgia,SERC,Ice Storm,75,"52,659"
12/31/2005,6:00 a.m.,1/5/2006, 9:00 a.m.,Northern and Central California,WECC,Severe Storms,800,"1,667,316"
